Server Started
Fri Dec  5 14:43:16 2025 | GET http://localhost:8000/health | Status: 200 | Time: 0.0010s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/ | Status: 200 | Time: 0.0008s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/styles.css | Status: 404 | Time: 0.0003s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/styles.css | Status: 404 | Time: 0.0005s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/plots/clustering_elbow.png | Status: 200 | Time: 0.0028s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/plots/clustering_silhouette.png | Status: 200 | Time: 0.0017s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/plots/clustering_kmeans_pca.png | Status: 200 | Time: 0.0017s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/plots/convergence_plot.png | Status: 404 | Time: 0.0016s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/plots/convergence_plot.png | Status: 404 | Time: 0.0009s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/plots/model_comparison_rmse.png | Status: 404 | Time: 0.0006s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/plots/model_comparison_rmse.png | Status: 404 | Time: 0.0009s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/app.js | Status: 404 | Time: 0.0001s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/app.js | Status: 404 | Time: 0.0001s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/plots/shap_summary.png | Status: 200 | Time: 0.0009s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/plots/shap_bar.png | Status: 200 | Time: 0.0007s
Fri Dec  5 14:43:37 2025 | GET http://localhost:8000/plots/shap_dependence.png | Status: 200 | Time: 0.0009s
Fri Dec  5 14:43:38 2025 | GET http://localhost:8000/favicon.ico | Status: 404 | Time: 0.0002s
Fri Dec  5 14:43:38 2025 | GET http://localhost:8000/favicon.ico | Status: 404 | Time: 0.0001s
Fri Dec  5 14:44:38 2025 | GET http://localhost:8000/styles.css | Status: 404 | Time: 0.0002s
Fri Dec  5 14:44:38 2025 | GET http://localhost:8000/.well-known/appspecific/com.chrome.devtools.json | Status: 404 | Time: 0.0002s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/ | Status: 200 | Time: 0.0011s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/plots/clustering_elbow.png | Status: 304 | Time: 0.0017s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/static/styles.css | Status: 200 | Time: 0.0029s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/plots/clustering_silhouette.png | Status: 304 | Time: 0.0011s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/plots/clustering_kmeans_pca.png | Status: 304 | Time: 0.0013s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/plots/convergence_plot.png | Status: 404 | Time: 0.0012s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/plots/convergence_plot.png | Status: 404 | Time: 0.0011s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/plots/model_comparison_rmse.png | Status: 404 | Time: 0.0013s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/plots/model_comparison_rmse.png | Status: 404 | Time: 0.0015s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/static/app.js | Status: 200 | Time: 0.0027s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/plots/shap_summary.png | Status: 304 | Time: 0.0018s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/plots/shap_bar.png | Status: 304 | Time: 0.0016s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/plots/shap_dependence.png | Status: 304 | Time: 0.0013s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/features | Status: 200 | Time: 0.0006s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/models | Status: 200 | Time: 0.0024s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/health | Status: 200 | Time: 0.0010s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/metrics?type=ml | Status: 200 | Time: 0.0182s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/features | Status: 200 | Time: 0.0015s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/models | Status: 200 | Time: 0.0038s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/metrics?type=dl | Status: 200 | Time: 0.0018s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/metrics?type=ml | Status: 200 | Time: 0.0043s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/health | Status: 200 | Time: 0.0014s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/metrics?type=clustering | Status: 200 | Time: 0.0023s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/metrics?type=dl | Status: 200 | Time: 0.0006s
Fri Dec  5 14:46:38 2025 | GET http://localhost:8000/metrics?type=clustering | Status: 200 | Time: 0.0025s
Fri Dec  5 14:47:33 2025 | POST http://localhost:8000/predict?model=knn_model.pkl | Status: 200 | Time: 0.0142s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/ | Status: 200 | Time: 0.0014s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/static/styles.css | Status: 304 | Time: 0.0020s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/plots/clustering_elbow.png | Status: 304 | Time: 0.0025s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/plots/clustering_silhouette.png | Status: 304 | Time: 0.0009s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/plots/clustering_kmeans_pca.png | Status: 304 | Time: 0.0014s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/plots/convergence_plot.png | Status: 200 | Time: 0.0024s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/plots/model_comparison_rmse.png | Status: 200 | Time: 0.0008s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/static/app.js | Status: 304 | Time: 0.0009s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/plots/shap_summary.png | Status: 304 | Time: 0.0011s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/plots/shap_bar.png | Status: 304 | Time: 0.0014s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/plots/shap_dependence.png | Status: 304 | Time: 0.0008s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/features | Status: 200 | Time: 0.0004s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/models | Status: 200 | Time: 0.0015s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/health | Status: 200 | Time: 0.0004s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/metrics?type=ml | Status: 200 | Time: 0.0038s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/features | Status: 200 | Time: 0.0006s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/models | Status: 200 | Time: 0.0024s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/health | Status: 200 | Time: 0.0007s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/metrics?type=ml | Status: 200 | Time: 0.0053s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/metrics?type=dl | Status: 200 | Time: 0.0016s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/metrics?type=dl | Status: 200 | Time: 0.0008s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/metrics?type=clustering | Status: 200 | Time: 0.0027s
Fri Dec  5 14:51:41 2025 | GET http://localhost:8000/metrics?type=clustering | Status: 200 | Time: 0.0023s
Fri Dec  5 14:52:32 2025 | POST http://localhost:8000/predict?model=knn_model.pkl | Status: 200 | Time: 0.0031s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/ | Status: 200 | Time: 0.0012s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/static/styles.css | Status: 304 | Time: 0.0020s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/plots/clustering_elbow.png | Status: 304 | Time: 0.0027s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/plots/clustering_silhouette.png | Status: 304 | Time: 0.0013s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/plots/convergence_plot.png | Status: 304 | Time: 0.0016s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/plots/clustering_kmeans_pca.png | Status: 304 | Time: 0.0033s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/static/app.js | Status: 304 | Time: 0.0022s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/plots/model_comparison_rmse.png | Status: 304 | Time: 0.0024s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/plots/shap_summary.png | Status: 304 | Time: 0.0013s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/plots/shap_bar.png | Status: 304 | Time: 0.0027s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/plots/shap_dependence.png | Status: 304 | Time: 0.0023s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/features | Status: 200 | Time: 0.0005s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/models | Status: 200 | Time: 0.0020s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/health | Status: 200 | Time: 0.0006s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/metrics?type=ml | Status: 200 | Time: 0.0051s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/metrics?type=dl | Status: 200 | Time: 0.0008s
Fri Dec  5 14:58:27 2025 | GET http://localhost:8000/metrics?type=clustering | Status: 200 | Time: 0.0035s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/ | Status: 200 | Time: 0.0011s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/static/styles.css | Status: 304 | Time: 0.0034s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/plots/clustering_elbow.png | Status: 304 | Time: 0.0035s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/plots/clustering_silhouette.png | Status: 304 | Time: 0.0043s
Fri Dec  5 14:58:30 2025 | GET http://localhost:8000/plots/convergence_plot.png | Status: 304 | Time: 0.0045s
